TSIC,LFS11,ISIC,oneDigit,bigGroup,Note
01111,0111,0111,A,A,
01112,0111,0111,A,A,
01113,0111,0111,A,A,
01114,0111,0111,A,A,
01115,0111,0111,A,A,
01121,0112,0111,A,A,
01122,0112,0111,A,A,
01139,0113,0111,A,A,
01140,0114,0111,A,A,
01150,0115,0111,A,A,
01161,0116,0111,A,A,
01169,0116,0111,A,A,
01191,0119,0111,A,A,
01192,0119,0111,A,A,
01199,0119,0111,A,A,
01261,0126,0111,A,A,
01269,0126,0111,A,A,
01289,0128,0111,A,A,
01291,0129,0111,A,A,
01292,0129,0111,A,A,
01299,0129,0111,A,A,
01630,0163,0111,A,A,
01131,0113,0112,A,A,
01132,0113,0112,A,A,
01133,0113,0112,A,A,
01134,0113,0112,A,A,
01135,0113,0112,A,A,
01136,0113,0112,A,A,
01139,0113,0112,A,A,
01193,0119,0112,A,A,
01194,0119,0112,A,A,
01199,0119,0112,A,A,
01251,0125,0112,A,A,
01252,0125,0112,A,A,
01259,0125,0112,A,A,
01269,0126,0112,A,A,
01281,0128,0112,A,A,
01282,0128,0112,A,A,
01289,0128,0112,A,A,
01299,0129,0112,A,A,
01210,0121,0113,A,A,
01221,0122,0113,A,A,
01222,0122,0113,A,A,
01223,0122,0113,A,A,
01224,0122,0113,A,A,
01225,0122,0113,A,A,
01226,0122,0113,A,A,
01227,0122,0113,A,A,
01228,0122,0113,A,A,
01229,0122,0113,A,A,
01231,0123,0113,A,A,
01239,0123,0113,A,A,
01241,0124,0113,A,A,
01249,0124,0113,A,A,
01251,0125,0113,A,A,
01252,0125,0113,A,A,
01259,0125,0113,A,A,
01262,0126,0113,A,A,
01271,0127,0113,A,A,
01272,0127,0113,A,A,
01279,0127,0113,A,A,
01289,0128,0113,A,A,
11021,1102,0113,A,A,
11022,1102,0113,A,A,
11029,1102,0113,A,A,
01411,0141,0121,A,A,
01412,0141,0121,A,A,
01419,0141,0121,A,A,
01420,0142,0121,A,A,
01441,0144,0121,A,A,
01442,0144,0121,A,A,
01301,0130,0122,A,A,
01302,0130,0122,A,A,
01430,0143,0122,A,A,
01450,0145,0122,A,A,
01461,0146,0122,A,A,
01462,0146,0122,A,A,
01463,0146,0122,A,A,
01469,0146,0122,A,A,
01491,0149,0122,A,A,
01492,0149,0122,A,A,
01493,0149,0122,A,A,
01494,0149,0122,A,A,
01495,0149,0122,A,A,
01496,0149,0122,A,A,
01499,0149,0122,A,A,
03219,0321,0122,A,A,
03223,0322,0122,A,A,
03224,0322,0122,A,A,
03229,0322,0122,A,A,
01500,0150,0130,A,A,
01611,0161,0140,A,A,
01612,0161,0140,A,A,
01619,0161,0140,A,A,
01621,0162,0140,A,A,
01629,0162,0140,A,A,
01630,0163,0140,A,A,
01640,0164,0140,A,A,
,,0140,A,A,"delete TSIC=81300, LFS11=8130"
96302,,0140,A,A,delete LFS11=9630
01700,0170,0150,A,A,
,,0150,A,A,"delete TSIC=94999, LFS11=9499"
01299,0129,0200,A,A,
01302,0130,0200,A,A,
02100,0210,0200,A,A,
02200,0220,0200,A,A,
02300,0230,0200,A,A,
02400,0240,0200,A,A,
03111,0311,0500,B,A,
03112,0311,0500,B,A,
03113,0311,0500,B,A,
03114,0311,0500,B,A,
03115,0311,0500,B,A,
03119,0311,0500,B,A,
03121,0312,0500,B,A,
03122,0312,0500,B,A,
03129,0312,0500,B,A,
03211,0321,0500,B,A,
03212,0321,0500,B,A,
03213,0321,0500,B,A,
03214,0321,0500,B,A,
03219,0321,0500,B,A,
03221,0322,0500,B,A,
03222,0322,0500,B,A,
03225,0322,0500,B,A,
03229,0322,0500,B,A,
05100,0510,1010,C,C,
09900,0990,1010,C,C,
19209,,1010,C,C,delete LFS11=1920
05200,0520,1020,C,C,
09900,0990,1020,C,C,
19209,,1020,C,C,delete LFS11=1920
08920,0892,1030,C,C,
09900,0990,1030,C,C,
06100,0610,1110,C,C,
06200,0620,1110,C,C,
09100,0910,1110,C,C,
09100,0910,1120,C,C,
07210,0721,1200,C,C,
09900,0990,1200,C,C,
07100,0710,1310,C,C,
09900,0990,1310,C,C,
07291,0729,1320,C,C,
07292,0729,1320,C,C,
07299,0729,1320,C,C,
07300,0730,1320,C,C,
09900,0990,1320,C,C,
08101,0810,1410,C,C,
08102,0810,1410,C,C,
08103,0810,1410,C,C,
08104,0810,1410,C,C,
09900,0990,1410,C,C,
08910,0891,1421,C,C,
09900,0990,1421,C,C,
08931,0893,1422,C,C,
08932,0893,1422,C,C,
09900,0990,1422,C,C,
08101,0810,1429,C,C,
08991,0899,1429,C,C,
08999,0899,1429,C,C,
09900,0990,1429,C,C,
10111,1011,1511,D,D,
10112,1011,1511,D,D,
10120,1012,1511,D,D,
10131,1013,1511,D,D,
10132,1013,1511,D,D,
10133,1013,1511,D,D,
10134,1013,1511,D,D,
10139,1013,1511,D,D,
10211,1021,1512,D,D,
10212,1021,1512,D,D,
10221,1022,1512,D,D,
10222,1022,1512,D,D,
10291,1029,1512,D,D,
10292,1029,1512,D,D,
10293,1029,1512,D,D,
10294,1029,1512,D,D,
10295,1029,1512,D,D,
10299,1029,1512,D,D,
10751,1075,1512,D,D,
10752,1075,1512,D,D,
10301,1030,1513,D,D,
10302,1030,1513,D,D,
10303,1030,1513,D,D,
10304,1030,1513,D,D,
10305,1030,1513,D,D,
10306,1030,1513,D,D,
10309,1030,1513,D,D,
10751,1075,1513,D,D,
10752,1075,1513,D,D,
10411,1041,1514,D,D,
10412,1041,1514,D,D,
10414,1041,1514,D,D,
10419,1041,1514,D,D,
10420,1042,1514,D,D,
10491,1049,1514,D,D,
10499,1049,1514,D,D,
10501,1050,1520,D,D,
10502,1050,1520,D,D,
10503,1050,1520,D,D,
10504,1050,1520,D,D,
10505,1050,1520,D,D,
10509,1050,1520,D,D,
10611,1061,1531,D,D,
10612,1061,1531,D,D,
10613,1061,1531,D,D,
10614,1061,1531,D,D,
10615,1061,1531,D,D,
10616,1061,1531,D,D,
10617,1061,1531,D,D,
10619,1061,1531,D,D,
10413,1041,1532,D,D,
10621,1062,1532,D,D,
10622,1062,1532,D,D,
10623,1062,1532,D,D,
10629,1062,1532,D,D,
10801,1080,1533,D,D,
10802,1080,1533,D,D,
10711,1071,1541,D,D,
10712,1071,1541,D,D,
10713,1071,1541,D,D,
10721,1072,1542,D,D,
10722,1072,1542,D,D,
10723,1072,1542,D,D,
10731,1073,1543,D,D,
10732,1073,1543,D,D,
10733,1073,1543,D,D,
10734,1073,1543,D,D,
10739,1073,1543,D,D,
10741,1074,1544,D,D,
10742,1074,1544,D,D,
10743,1074,1544,D,D,
